fips,cases,deaths
12071.0,34128,1366
12073.0,6942,82
12075.0,500,0
12077.0,1207,0
12079.0,1341,50
12081.0,17606,1444
12083.0,5398,132
12085.0,6517,157
12086.0,394461,9662
12087.0,2938,112
12089.0,1846,10
12091.0,5278,111
12093.0,399,0
12095.0,48890,962
12097.0,17104,270
12099.0,96844,5531
12101.0,8591,201
12103.0,25441,1059
12105.0,15400,656
12107.0,2934,61
12109.0,8040,148
12111.0,8106,613
12113.0,5305,253
12115.0,12172,1173
12117.0,13371,213
12119.0,6608,423
12121.0,3829,334
12123.0,76,0
12125.0,134,0
12127.0,14546,571
12129.0,672,30
12131.0,1577,11
12133.0,318,0
13001.0,1652,133
13003.0,292,13
13005.0,827,26
13007.0,751,84
13009.0,5710,203
13011.0,684,0
13013.0,4222,153
13015.0,11957,930
13017.0,774,0
13019.0,469,0
13021.0,8320,230
13023.0,399,0
13025.0,633,60
13027.0,1426,166
13029.0,1628,94
13031.0,1121,53
13033.0,2246,87
13035.0,3653,218
13037.0,2863,115
13039.0,1059,19
13043.0,228,0
13045.0,12312,398
13047.0,1263,0
13049.0,315,1
13051.0,7775,281
13053.0,306,0
13055.0,436,49
13057.0,14193,410
13059.0,5195,495
13061.0,768,75
13063.0,23123,841
13065.0,328,0
13067.0,52279,2710
13069.0,3838,173
13071.0,5516,256
13073.0,4673,81
13075.0,620,27
13077.0,6878,147
13079.0,450,0
13081.0,4835,92
13083.0,397,39
13085.0,1893,43
13087.0,2424,31
13089.0,63810,1358
13091.0,814,15
13093.0,3358,235
13095.0,55006,3918
13097.0,10160,318
13099.0,6753,536
13101.0,149,0
13103.0,1144,37
13105.0,617,0
13107.0,567,4
13109.0,113,0
13111.0,831,16
13113.0,5927,326
13115.0,5335,339
13117.0,9161,273
13119.0,550,12
13121.0,93508,3527
13123.0,1461,0
13125.0,5,1
13127.0,2030,19
13129.0,2957,329
13131.0,1608,77
13133.0,1672,74
13135.0,53879,1758
13137.0,6437,196
13139.0,37588,445
13141.0,1325,31
13143.0,923,36
13145.0,1654,58
13147.0,316,0
13149.0,327,48
13151.0,15889,354
13153.0,7339,447
13155.0,591,20
13157.0,2598,53
13159.0,642,0
13161.0,399,22
13163.0,433,33
13165.0,498,34
13167.0,1394,50
13169.0,811,0
13171.0,1108,16
13173.0,272,32
13175.0,1951,32
13177.0,11320,710
13179.0,1183,0
13181.0,407,0
13183.0,120,0
13185.0,4599,127
13187.0,1363,21
13189.0,1373,116
13191.0,166,0
13193.0,2064,65
13195.0,735,43
13197.0,1036,25
13199.0,1644,11
13201.0,929,0
13205.0,9232,870
13207.0,788,71
13209.0,71,0
13211.0,828,0
13213.0,941,11
13215.0,9124,208
13217.0,6015,193
13219.0,2075,4
13221.0,1296,90
13223.0,5790,228
13225.0,1524,80
13227.0,829,82
13229.0,1906,82
13231.0,1163,49
13233.0,1726,0
13235.0,803,29
13237.0,1041,99
13239.0,150,27
13241.0,356,9
13243.0,5130,514
13245.0,11197,406
13247.0,6035,208
13249.0,547,36
13251.0,443,27
13253.0,949,54
13255.0,5736,281
13257.0,1965,25
13259.0,632,0
13261.0,11974,742
13263.0,685,35
13265.0,9,0
13267.0,262,0
13269.0,496,71
13271.0,693,0
13273.0,5928,601
13275.0,5451,508
13277.0,3797,127
13279.0,902,89
13281.0,516,14
13283.0,83,0
13285.0,4374,153
13287.0,2070,193
13289.0,225,0
13291.0,760,37
13293.0,6204,446
13295.0,1390,0
13297.0,3294,125
13299.0,3672,292
13301.0,405,0
13303.0,1226,26
13305.0,332,0
13307.0,257,31
13309.0,133,0
13311.0,1584,8
13313.0,2737,153
13315.0,2050,198
13317.0,664,0
13319.0,910,55
13321.0,4972,298
15001.0,2293,0
15003.0,15880,302
15007.0,896,0
15009.0,3978,154
16001.0,24552,485
16003.0,86,0
16005.0,328,0
16011.0,134,0
16013.0,19982,198
16017.0,150,0
16019.0,777,0
16025.0,42,0
16027.0,8261,213
16029.0,38,0
16031.0,415,42
16037.0,89,0
16039.0,927,39
16043.0,91,0
16045.0,445,0
16047.0,332,0
16049.0,125,0
16051.0,193,0
16053.0,1628,67
16055.0,2282,0
16057.0,146,0
16059.0,17,0
16063.0,802,0
16065.0,360,0
16067.0,301,0
16069.0,1725,466
16073.0,227,0
16075.0,469,40
16077.0,70,0
16081.0,327,0
16083.0,5398,308
16085.0,96,0
16087.0,42,0
17001.0,1162,11
17003.0,89,0
17005.0,204,26
17007.0,2663,218
17009.0,50,0
17011.0,330,7
17013.0,37,0
17015.0,293,64
17017.0,716,0
17019.0,5027,152
17021.0,1103,180
17023.0,176,0
17025.0,48,0
17027.0,2679,88
17029.0,576,18
17031.0,1099107,44421
17033.0,273,0
17035.0,117,0
17037.0,3001,39
17039.0,86,0
17041.0,563,0
17043.0,92022,4630
17049.0,158,33
17051.0,498,50
17053.0,279,35
17055.0,250,0
17057.0,69,2
17059.0,65,0
17061.0,71,0
17063.0,1178,4
17065.0,46,0
17067.0,176,0
17069.0,21,0
17071.0,99,0
17073.0,1333,0
17075.0,1049,11
17077.0,2854,219
17079.0,1006,95
17081.0,1881,212
17083.0,377,17
17085.0,458,0
17087.0,92,0
17089.0,45054,1626
17091.0,11568,759
17093.0,7788,222
17095.0,1021,0
17097.0,107788,3686
17099.0,1734,63
17101.0,92,0
17103.0,873,0
17105.0,716,22
17107.0,189,0
17109.0,535,17
17111.0,18669,917
17113.0,3492,119
17115.0,2931,306
17117.0,905,7
17119.0,9083,504
17121.0,906,0
17123.0,123,0
17125.0,281,0
17127.0,132,0
17129.0,256,0
17131.0,227,0
17133.0,2131,257
17135.0,711,3
17137.0,661,43
17139.0,133,0
17141.0,2811,45
17143.0,2501,86
17145.0,469,0
17147.0,238,0
17149.0,38,0
17151.0,4,0
17153.0,472,0
17157.0,3835,32
17159.0,78,0
17161.0,10038,255
17163.0,13965,895
17165.0,125,0
17167.0,4608,324
17169.0,60,0
17173.0,242,13
17175.0,34,0
17177.0,1169,0
17179.0,1286,102
17181.0,583,7
17183.0,492,13
17185.0,42,0
17187.0,1430,0
17189.0,301,0
17191.0,47,0
17193.0,36,0
17195.0,2183,152
17197.0,79338,4415
17199.0,845,4
17201.0,12884,474
17203.0,465,21
18001.0,259,30
18003.0,15480,1190
18005.0,7178,414
18007.0,209,0
18009.0,276,27
18011.0,6210,586
18013.0,592,35
18015.0,847,32
18017.0,22021,64
18019.0,8498,533
18021.0,641,20
18023.0,1275,48
18025.0,569,15
18027.0,1268,292
18029.0,3412,236
18031.0,6839,788
18033.0,544,42
18035.0,5021,346
18037.0,753,0
18039.0,8143,266
18041.0,1230,150
18043.0,5906,456
18045.0,313,66
18047.0,3577,301
18049.0,588,12
18051.0,247,0
18053.0,3674,273
18055.0,2231,190
18057.0,25522,1743
18059.0,6626,350
18061.0,3874,198
18063.0,21720,1116
18065.0,1379,34
18067.0,4578,232
18069.0,316,60
18071.0,4629,14
18073.0,1076,47
18075.0,428,0
18077.0,814,0
18079.0,2717,75
18081.0,19382,1780
18083.0,663,0
18085.0,1049,48
18087.0,789,50
18089.0,53531,2473
18091.0,5930,213
18093.0,3282,406
18095.0,13165,1470
18097.0,178429,9359
18099.0,900,20
18101.0,203,0
18103.0,2231,10
18105.0,4288,181
18107.0,1986,21
18109.0,5187,175
18111.0,1450,194
18113.0,2135,258
18115.0,132,0
18117.0,2047,269
18119.0,905,32
18121.0,401,0
18123.0,352,0
18125.0,44,0
18127.0,7439,174
18129.0,360,0
18131.0,472,0
18133.0,2165,143
18135.0,646,60
18137.0,3533,162
18139.0,1066,46
18141.0,17791,530
18143.0,1315,85
18145.0,6202,376
18147.0,204,10
18149.0,502,39
18151.0,952,37
18153.0,427,0
18155.0,540,0
18157.0,3756,73
18159.0,585,26
18161.0,333,0
18163.0,4078,43
18165.0,226,0
18167.0,2150,179
18169.0,995,29
18171.0,310,42
18173.0,2706,342
18175.0,1359,6
18177.0,2068,86
18179.0,224,0
18181.0,1551,5
18183.0,609,37
19001.0,69,0
19005.0,2268,106
19007.0,102,69
19009.0,108,0
19011.0,968,35
19013.0,23777,286
19015.0,466,0
19017.0,1172,72
19019.0,499,0
19021.0,268,0
19023.0,189,0
19025.0,11,0
19027.0,105,0
19029.0,29,0
19031.0,1085,5
19033.0,579,0
19035.0,60,0
19037.0,130,0
19039.0,91,0
19041.0,151,0
19043.0,433,33
19045.0,1575,16
19047.0,1427,31
19049.0,9040,33
19051.0,60,0
19055.0,148,9
19057.0,548,16
19059.0,136,0
19061.0,3262,104
19065.0,482,0
19067.0,23,2
19069.0,86,0
