FIPS,%_african_american,%_natamer_alaskan,%_asian,%_hawaii_pacisl,%_hisp,%_nonhisp_white
5011,27.8,1.6,0.4,0.0,14.9,55.6
5013,21.7,0.6,0.2,0.0,3.9,72.4
5015,0.5,1.3,1.0,0.9,15.0,80.2
5017,53.8,0.4,0.6,0.0,5.5,39.2
5019,23.8,0.6,0.6,0.1,4.8,68.8
5021,0.7,0.4,0.1,0.0,1.9,95.7
5023,0.4,0.7,0.4,0.0,2.3,94.9
5025,11.5,0.4,0.1,0.0,2.3,84.5
5027,35.3,0.5,1.1,0.0,2.7,59.3
5029,11.5,0.7,0.5,0.0,3.9,81.5
5031,15.0,0.5,1.2,0.1,4.9,77.1
5033,1.4,2.5,1.6,0.1,7.5,84.7
5035,52.9,0.3,0.6,0.0,2.5,42.6
5037,23.1,0.4,0.6,0.0,2.0,72.7
5039,41.9,0.5,0.2,0.0,3.2,52.6
5041,46.2,0.4,0.5,0.1,6.1,45.8
5043,27.8,0.5,0.8,0.0,3.1,66.8
5045,11.5,0.7,1.2,0.1,4.0,80.8
5047,0.8,1.4,0.9,0.1,2.9,92.4
5049,0.6,0.7,0.3,0.0,1.4,95.4
5051,8.4,0.7,0.9,0.1,5.4,82.4
5053,2.7,0.5,0.4,0.1,2.5,92.7
5055,1.5,0.6,0.4,0.3,2.8,93.4
5057,29.7,0.7,0.6,0.2,12.6,55.0
5059,11.2,0.6,0.4,0.1,3.4,82.8
5061,20.3,1.5,0.6,0.1,12.2,64.4
5063,2.1,0.7,0.8,0.3,6.2,88.9
5065,2.0,1.0,0.5,0.0,2.1,93.2
5067,17.6,0.7,0.5,0.2,2.7,76.9
5069,56.2,0.4,0.9,0.1,2.0,39.3
5071,1.6,1.1,1.9,0.1,13.9,80.1
5073,36.8,0.4,0.5,0.0,2.6,58.9
5075,1.0,0.5,0.2,0.0,1.4,95.6
5077,54.0,0.7,0.5,0.0,2.6,41.0
5079,30.5,0.5,0.3,0.0,3.7,64.1
5081,19.8,1.7,0.4,0.1,3.7,72.6
5083,1.4,1.2,2.0,0.0,2.9,90.9
5085,6.0,0.7,1.0,0.1,4.4,86.2
5087,0.4,1.7,0.7,0.7,5.5,89.7
5089,0.4,0.9,0.4,0.1,2.2,94.6
5091,25.1,0.8,0.5,0.1,3.2,69.0
5093,35.3,0.4,0.5,0.0,4.1,58.5
5095,39.9,0.7,0.7,0.0,2.8,54.4
5097,0.4,1.2,1.0,0.0,4.2,91.2
5099,30.6,0.4,0.3,0.0,3.6,63.6
5101,0.3,1.2,0.3,0.0,1.7,94.3
5103,39.6,0.5,0.4,0.1,2.2,55.5
5105,1.9,0.9,0.3,0.0,2.9,92.3
5107,61.6,0.3,0.5,0.0,2.0,34.8
5109,3.4,1.1,0.7,0.1,6.7,87.0
5111,8.0,0.3,0.3,0.0,2.9,87.2
5113,0.4,2.1,0.8,0.0,6.6,88.0
5115,3.2,1.0,1.2,0.1,8.8,84.3
5117,12.0,0.4,0.2,0.1,1.6,84.6
5119,36.6,0.5,2.3,0.0,6.1,52.8
5121,1.0,0.6,0.3,0.0,1.9,95.1
5123,52.4,0.7,0.6,0.1,5.0,40.4
5125,7.1,0.5,1.3,0.1,4.5,85.4
5127,0.6,2.5,3.5,0.0,7.6,84.5
5129,0.3,1.3,0.5,0.0,2.0,93.6
5131,6.4,2.2,4.7,0.2,13.9,70.2
5133,4.0,3.4,0.6,0.7,33.0,57.9
5135,0.7,1.0,0.6,0.0,2.1,93.7
5137,0.3,0.8,0.4,0.0,2.0,94.8
5139,32.7,0.6,0.7,0.1,4.0,60.9
5141,0.5,0.9,0.4,0.0,3.1,93.5
5143,3.3,1.5,2.6,2.3,16.4,72.1
5145,4.4,0.6,0.7,0.1,4.2,88.4
5147,26.1,0.5,0.2,0.1,1.9,69.8
5149,1.5,1.0,1.3,0.1,19.5,76.2
6001,10.7,1.1,30.2,1.0,22.5,32.1
6003,0.1,22.0,1.0,0.0,10.4,67.8
6005,1.9,2.4,1.5,0.3,13.6,78.9
6007,1.5,2.4,4.7,0.3,16.0,72.7
6009,0.8,1.8,1.6,0.3,11.6,81.7
6011,0.9,2.7,1.8,0.6,58.8,35.8
6013,8.8,1.0,17.1,0.6,25.4,44.6
6015,3.1,9.2,3.4,0.2,19.7,63.0
6017,0.9,1.3,4.3,0.2,12.8,78.1
6019,4.7,3.0,10.8,0.3,52.8,30.0
6021,0.8,3.2,3.1,0.2,41.7,51.5
6023,1.2,6.4,2.9,0.3,11.3,74.7
6025,2.5,2.6,2.2,0.2,83.8,11.1
6027,0.8,13.1,1.6,0.1,21.4,63.4
6029,5.2,2.6,5.2,0.3,52.8,34.8
6031,6.1,3.1,4.5,0.3,54.2,32.7
6033,1.7,4.2,1.4,0.3,20.0,71.1
6035,7.8,4.3,1.5,0.8,18.6,66.2
6037,8.1,1.5,15.1,0.4,48.5,26.5
6039,3.3,4.4,2.4,0.3,57.4,34.7
6041,2.5,1.0,6.3,0.2,16.0,71.9
6043,0.9,3.4,1.6,0.2,11.0,80.6
6045,0.7,6.3,2.1,0.2,25.0,65.5
6047,3.0,2.5,7.9,0.4,58.9,28.4
6049,1.0,5.2,1.1,0.3,15.2,77.0
